Project Units: meters
Units & Scale - Inactive, Translate - Inactive, Rotate - Inactive

Id,Name,Photos (used),X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Precision Vector Length,Tightness (percent),Tightness (project units),Angle (deg.),Control Name,RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,#Constraints,Target Code,Target Bits,Ref. Check Tag,Photos (marked),Color (R),Color (G),Color (B)
44," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.856853,0.571372,0.000678,0.000044,0.000042,0.000070,0.000092,0.018123,0.000330,89.111195, ,0.130123,0.317264,21,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
45," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000429,0.571361,0.003487,0.000043,0.000042,0.000071,0.000094,0.028745,0.000523,86.246288, ,0.196743,0.354612,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
46," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999818,0.571318,0.000984,0.000044,0.000042,0.000071,0.000094,0.020766,0.000378,87.949730, ,0.161815,0.417774,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
47," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.714193,0.571328,0.002191,0.000042,0.000041,0.000069,0.000091,0.028712,0.000522,89.995267, ,0.174736,0.369477,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
48," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142644,0.571301,0.002108,0.000044,0.000043,0.000074,0.000097,0.023844,0.000434,86.576512, ,0.206090,0.353836,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
49," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.571598,0.571295,0.003960,0.000042,0.000041,0.000069,0.000090,0.026494,0.000482,89.825012, ,0.166720,0.344884,12,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
50," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",-0.142362,0.428526,0.000582,0.000043,0.000043,0.000075,0.000096,0.038847,0.000706,84.346163, ,0.227465,0.510408,7,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
51," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.000437,0.428559,0.000747,0.000043,0.000042,0.000072,0.000094,0.020450,0.000372,85.991743, ,0.165665,0.378622,6,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
52," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",1.142597,0.428414,0.000408,0.000045,0.000044,0.000074,0.000097,0.028764,0.000523,86.490350, ,0.200805,0.329354,10,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
53," ","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",0.999793,0.428419,0.000212,0.000044,0.000043,0.000071,0.000094,0.021241,0.000386,87.920612, ,0.153354,0.378880,14,White,Default, ,Regular,yes,no,0,n/a,n/a, ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",255,255,255
