# Mark points for DBAT camera calibration demo
# Format: image id, point id, x, y, sxy
 5,   20,  688.2084,  838.3957, 0.1
 5,   12,  505.9080,  837.2380, 0.1
 5,    2,  330.0569,  836.2926, 0.1
 5,   97, 2003.7893,  695.1306, 0.1
 5,   85, 1822.8873,  692.8129, 0.1
 5,   78, 1639.1765,  690.4138, 0.1
 5,    3,  371.1777,  688.6453, 0.1
 5,   67, 1453.0994,  688.9502, 0.1
 5,   13,  540.6057,  687.8707, 0.1
 5,   56, 1266.1794,  687.7336, 0.1
 5,   22,  715.4564,  687.1310, 0.1
 5,   34,  895.6191,  686.8803, 0.1
 5,   43, 1079.6845,  686.1515, 0.1
 5,   96, 1972.4259,  555.6192, 0.1
 5,    5,  410.1786,  553.3392, 0.1
 5,   87, 1799.5822,  551.3106, 0.1
 5,   15,  573.0807,  550.6150, 0.1
 5,   79, 1623.5078,  549.6039, 0.1
 5,   24,  740.8439,  547.8717, 0.1
 5,   69, 1445.9670,  546.8787, 0.1
 5,   36,  913.1713,  545.1384, 0.1
 5,   59, 1267.4582,  545.0157, 0.1
 5,   49, 1089.2513,  543.9902, 0.1
 5,    7,  447.2407,  430.6341, 0.1
 5,   93, 1942.8240,  428.1707, 0.1
 5,   16,  604.0751,  426.8964, 0.1
 5,   86, 1776.8625,  424.1067, 0.1
 5,   76, 1608.3574,  422.3663, 0.1
 5,   26,  764.9680,  422.3233, 0.1
 5,   68, 1438.6096,  420.7633, 0.1
 5,   37,  930.1871,  419.9556, 0.1
 5,   58, 1268.3577,  419.0587, 0.1
 5,   47, 1098.4126,  418.5991, 0.1
 5,    9,  482.0227,  317.7184, 0.1
 5,   18,  633.0659,  313.2852, 0.1
 5,   91, 1914.9326,  312.0068, 0.1
 5,   27,  787.7307,  309.4418, 0.1
 5,   82, 1755.2634,  309.1102, 0.1
 5,   35,  945.9714,  306.5107, 0.1
 5,   74, 1594.2353,  306.1743, 0.1
 5,   66, 1431.7619,  304.8087, 0.1
 5,   57, 1269.0377,  304.1560, 0.1
 5,   44, 1106.6692,  304.4892, 0.1
 5,   10,  514.8508,  215.4855, 0.1
 5, 1002,  659.9688,  208.9749, 0.1
 5,   89, 1888.9250,  205.8930, 0.1
 5,   28,  808.8369,  205.4286, 0.1
 5,   38,  960.5330,  202.5689, 0.1
 5, 1004, 1735.8000,  202.0153, 0.1
 5,   72, 1581.1404,  199.6815, 0.1
 5,   63, 1425.4160,  199.0600, 0.1
 5,   53, 1269.6813,  198.4461, 0.1
 5,   46, 1114.3286,  198.9235, 0.1
 5,   11,  544.8392,  119.8353, 0.1
 5,   19,  685.2890,  115.0302, 0.1
 5,   29,  828.2468,  110.4541, 0.1
 5,   88, 1864.6231,  108.5819, 0.1
 5,   80, 1716.9555,  105.8210, 0.1
 5,   39,  973.5853,  104.1331, 0.1
 5,   70, 1568.5492,  103.3157, 0.1
 5,   60, 1419.3083,  102.6931, 0.1
 5,   52, 1270.1350,  101.7829, 0.1
 5,   48, 1121.3018,  101.7501, 0.1
 6,   97, 1283.5809, 1652.6037, 0.1
 6,   96, 1417.1082, 1621.4345, 0.1
 6,   93, 1539.7628, 1592.0028, 0.1
 6,   81,  615.1470, 1591.1505, 0.1
 6,   91, 1652.0042, 1564.0544, 0.1
 6, 1003,  804.8048, 1561.8844, 0.1
 6,   89, 1755.0500, 1538.0092, 0.1
 6,   83,  979.3579, 1533.9133, 0.1
 6,   88, 1849.9301, 1513.4529, 0.1
 6,   84, 1139.4181, 1507.0651, 0.1
 6,   85, 1286.3654, 1481.3028, 0.1
 6,   87, 1422.0542, 1457.3513, 0.1
 6,   86, 1544.6097, 1433.9423, 0.1
 6,   82, 1655.9138, 1411.6240, 0.1
 6, 1004, 1760.1241, 1391.3993, 0.1
 6,   71,  611.9537, 1382.4777, 0.1
 6,   80, 1854.0028, 1371.8763, 0.1
 6,   73,  803.4462, 1362.9194, 0.1
 6,   75,  980.2026, 1343.8147, 0.1
 6,   77, 1141.5994, 1324.9521, 0.1
 6,   78, 1289.1474, 1306.7111, 0.1
 6,   79, 1424.4122, 1289.3393, 0.1
 6,   76, 1547.2005, 1272.7180, 0.1
 6,   74, 1659.8999, 1257.1797, 0.1
 6,   72, 1763.6216, 1242.6549, 0.1
 6,   70, 1857.7931, 1228.8792, 0.1
 6,   61,  610.9644, 1170.7949, 0.1
 6,   62,  803.3174, 1160.2555, 0.1
 6,   64,  980.4544, 1149.6050, 0.1
 6,   65, 1142.3298, 1139.1811, 0.1
 6,   67, 1290.9756, 1128.8397, 0.1
 6,   69, 1427.7074, 1119.3412, 0.1
 6,   68, 1549.6209, 1109.6596, 0.1
 6,   66, 1662.2237, 1100.7967, 0.1
 6,   63, 1765.4020, 1092.3532, 0.1
 6,   60, 1859.7199, 1084.5206, 0.1
 6,   51,  804.1245,  954.9867, 0.1
 6,   50,  611.2105,  956.4307, 0.1
 6,   54,  982.4803,  953.4545, 0.1
 6,   55, 1143.9134,  951.4868, 0.1
 6,   56, 1292.4691,  949.5241, 0.1
 6,   59, 1430.0460,  947.5255, 0.1
 6,   58, 1552.0244,  945.5050, 0.1
 6,   57, 1663.8565,  943.4240, 0.1
 6,   53, 1767.1175,  941.5953, 0.1
 6,   52, 1861.8955,  939.8270, 0.1
 6,   48, 1863.1720,  794.7347, 0.1
 6,   46, 1767.8294,  790.4958, 0.1
 6,   44, 1664.4994,  785.8206, 0.1
 6,   47, 1553.2771,  780.8219, 0.1
 6,   49, 1431.5791,  775.3421, 0.1
 6,   43, 1294.1814,  769.6006, 0.1
 6,   41, 1145.3316,  763.1932, 0.1
 6,   40,  983.1383,  756.4987, 0.1
 6,   45,  807.6407,  749.1314, 0.1
 6,   42,  615.3309,  741.4043, 0.1
 6,   39, 1862.1407,  650.2337, 0.1
 6,   38, 1765.3636,  640.2456, 0.1
 6,   35, 1663.4756,  628.9832, 0.1
 6,   37, 1552.7079,  616.9810, 0.1
 6,   36, 1430.9460,  604.1029, 0.1
 6,   34, 1293.5036,  590.8284, 0.1
 6,   33, 1145.8658,  576.4937, 0.1
 6,   32,  984.9414,  561.1630, 0.1
 6,   31,  808.8353,  545.1670, 0.1
 6,   30,  617.2725,  528.8515, 0.1
 6,   29, 1857.1660,  507.3149, 0.1
 6,   28, 1763.6698,  491.2705, 0.1
 6,   27, 1661.5107,  473.8473, 0.1
 6,   26, 1551.0227,  455.1793, 0.1
 6,   24, 1428.6075,  435.4336, 0.1
 6,   22, 1293.1787,  414.8173, 0.1
 6,   20, 1146.5439,  392.7680, 0.1
 6,   19, 1853.9495,  366.1155, 0.1
 6,   21,  986.3625,  369.4750, 0.1
 6, 1002, 1761.1662,  344.3868, 0.1
 6,   23,  812.4642,  345.0481, 0.1
 6,   18, 1658.5668,  321.3220, 0.1
