# Image measurements for the Roma bundle demos in DBAT.
# Format: Image id, OP id, x, y
 1,  821,4233.5591,2261.8232
 1,32194,3494.9082, 593.1541
 1,  824,4449.0635,2091.9573
 1,  825,3177.3196,2002.1505
 1,  826,4064.7593, 761.5269
 1,  827,3877.7656,1575.1581
 1,  828,3515.9958,1551.8132
 1,  829,4238.0210,2154.5300
 1,  830,2697.7693,1519.3539
 1,  831,2651.8308, 866.7712
 1,  832,1616.2297,1256.1433
 1,  833,4252.2476,2556.9858
 1,  834,2045.4441,1879.2032
 1,  835,2755.1521, 730.2762
 1,  836,2410.9546,1418.3180
 1,  837,3549.3257,1169.7155
 1,  838,2064.9834, 989.0635
 1,  839,2652.1780, 594.3735
 1,32739,3572.0569,1992.7859
 1,29941,3081.7664,1930.0481
 1,  842,3476.2520,1757.0339
 1,  843,3780.6226,1381.1857
 1,  844,3528.8901,1709.7612
 1,  845,2488.0615,1481.5056
 1,  846,3077.6284,1453.8275
 1,  847,2526.5085, 654.0817
 1,  848,2420.8865, 744.6146
 1,  849,4306.5190,2342.8760
 1,  850,1960.4883,1949.7690
 1,  851,1670.0745, 740.3020
 1,  853,3858.6650,1926.7058
 1,  854,2094.2166,1591.3690
 1,  855,2164.5896, 940.4751
 1,  856,1679.0952, 689.9712
 1,29874,3826.8108, 522.1342
 1,  859,1559.0386,1292.6697
 1,30068,3079.4680, 586.6943
 1,  861,1599.1398,1904.8845
 1,  862,4152.6943,2119.7026
 1,  863,3535.2366,1239.9257
 1,  864,2828.1035,1223.3848
 1,31445,3504.9688, 584.1036
 1,31423,2919.0493,1328.8118
 1,  867,4312.0244,1339.0405
 1,  868,4074.3184,1832.5449
 1,  869,3456.8784,1488.0613
 1,  870,2831.6050,1592.5575
 1,  871,4341.3403,2728.3289
 1,  872,3307.1396,1338.5272
 1,  873,1613.1726, 853.8772
 1,  874,3484.9114,1163.4427
 1,28714,2130.9756,1758.4005
 1,  876,4013.4216,1061.6921
 1,  877,1573.8925, 609.1536
 1,  878,3236.0020, 977.6357
 1,  879,2483.3728,1596.8055
 1,32971,3874.3237,1541.7240
 1,  881,3752.5151,1338.0920
 1,30803,2289.4812, 661.6021
 1,  883,3834.0781,1386.4573
 1,  884,2522.1050,1315.9718
 1,  885,2165.9141,1591.0654
 1,  886,3160.3098,1681.1545
 1,  887,4477.5103,1626.0112
 1,  888,3725.8872,2233.9634
 1,28897,2806.3743, 541.5200
 1,  890,2199.8689,1665.1559
 1,30294,2302.0974,1657.7739
 1,31147,2669.5620,1606.9333
 1,  893,3940.1885,1658.5376
 1,28989,1551.8511,1263.9592
 1,  895,2187.3511,1199.3328
 1,  896,2218.3066,1396.9174
 1,  897,2429.1792,1553.8732
 1,  898,3583.2129,1982.6110
 1,  899,3951.4336,1458.1108
 1,  900,3567.3708,1222.8739
 1,  901,3553.2197,1475.6510
 1,  903,3967.2075,1457.8678
 1,31572,2134.6311,1445.5536
 1,  905,3553.3306,1497.0278
 1,28869,2204.7881,1460.3527
 1,  907,3277.6467,1139.5898
 1,  908,3727.5488,2245.2688
 1, 1987,3527.7827,1223.6792
 1,  910,2283.3315,1665.9514
 1,32191,3543.5571,1487.6561
 1,  913,3294.0447,1182.7327
 1,  914,4034.6479,1457.1472
 1,  916,2986.8506,1626.7946
 1,34824,3908.8591, 537.5375
 1,  919,3520.1147,1424.7618
 1,32702,2203.3936,1335.2141
 1,33130,2990.8616, 560.4337
 1, 1879,3572.9248,1277.0779
 1,  923,4330.6655,1118.2321
 1,  924,2641.5854,1243.1464
 1,  925,4316.9224,1158.7170
 1,30603,2219.5500,1474.0370
 1,  927,3872.7100,1999.8215
 1,33025,3588.2686,1575.3522
 1,31070,2215.4761,1325.6580
 1,  930,1938.6404, 596.1791
 1,31962,2888.0251,1321.3879
 1,28872,2474.5474, 568.2894
 1,33919,2525.2979,1206.4077
 1,  934,3069.8604,1230.0720
 1,  935,3686.4233,1242.6824
 1,  936,3050.2178, 579.6114
 1,33041,3585.0229,1308.5870
 1, 2115,3525.7983,1488.3407
 1,  939,3904.8459,1491.0161
 1,  940,2363.9983,1634.6372
 1,  941,3712.9668,2275.9175
 1,  942,2777.9824,1587.3884
 1,  943,3922.4219,1459.2700
 1,  945,2056.3171, 671.2531
 1, 2128,3602.0122,1295.5769
 1,  947,3581.7114,1239.6625
 1,  948,2515.7070, 495.4975
 1,  950,4259.2876,1078.6866
 1,30399,2222.3706,1336.0780
 1,34853,3837.2197, 533.4058
 1,  954,3133.6628,1562.5999
 1,31304,3489.8191, 552.1569
 1,30454,2558.6956, 494.8260
 1, 2094,2766.1172,1504.4243
 1,33156,3536.2783,1317.4017
 1,  959,3943.0337,1447.8435
 1,  960,3684.4819,2273.8823
 1,  961,3517.2910,2733.2256
 1,  962,4097.6558,1495.7438
 1,32047,3241.4893, 942.3240
 1,  964,3019.8384,1619.4396
 1, 2368,3367.1948, 552.8903
 1,  966,3657.1895,2266.6653
 1,30702,2617.0093, 648.1544
 1,  968,3734.5513,1281.7266
 1,  969,3560.7246,1486.0344
 1, 2003,2748.0217,1220.5846
 1,  971,2384.7729, 733.5230
 1,31970,2928.4409,1724.0155
 1,33088,3520.7275,1297.8323
 1,31320,2515.5310, 552.0565
 1,32553,2072.5754,1641.9097
 1,  979,2263.9119,1691.1685
 1,  980,4139.9277,2000.8308
 1,  981,2410.6104, 645.4769
 1,34851,2809.6848, 555.1642
 1,  983,2037.8066, 611.9796
