Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65331," ",1000148.815117,112299.655910,149.748980,0.059453,0.056408,0.464908,"3,4,5",0.006514,0.245176,13.495076,1.528476,1.778976,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.472076,"3,4,5"
65332," ",1000232.308973,112471.603768,140.445527,0.057276,0.066712,0.469434,"3,4,5",0.005827,0.219324,13.491338,1.114884,1.400208,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.477597,"3,4,5"
65338," ",1000252.175008,112229.912444,140.725135,0.058469,0.062072,0.473128,"3,4,5",0.005424,0.204133,13.515266,1.341508,1.574416,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.480751,"3,4,5"
65339," ",1000215.521270,112253.722279,140.040470,0.057221,0.059440,0.471274,"3,4,5",0.006179,0.232566,13.485981,1.301190,1.771118,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.478442,"3,4,5"
65341," ",999838.489500,112170.430891,153.001989,0.065194,0.069461,0.447350,"1,3,4",0.004647,0.174920,15.005590,1.333005,1.543475,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.457381,"1,3,4"
65343," ",1000149.472592,112497.957035,139.731051,0.075066,0.069447,0.447465,"1,3,4",0.003644,0.137155,14.557121,0.806482,1.080096,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.459002,"1,3,4"
65353," ",1000166.172555,112282.862999,149.773961,0.078043,0.056948,0.440044,"1,3,4",0.004614,0.173655,14.604781,1.009277,1.287892,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.450524,"1,3,4"
65354," ",1000312.662149,112542.609258,137.772998,0.092515,0.068740,0.561517,"2,3,4",0.001576,0.059334,13.485490,0.319389,0.451015,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.573223,"2,3,4"
65367," ",999950.738303,112322.613534,140.379900,0.069234,0.062254,0.554278,"2,3,4",0.000963,0.036228,13.583938,0.880717,1.244962,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.562044,"2,3,4"
65369," ",1000101.613328,112171.251874,140.419136,0.068673,0.068395,0.449336,"1,3,4",0.005155,0.194021,14.605002,0.977726,1.350703,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.459670,"1,3,4"
65374," ",1000077.559578,112198.977339,141.045197,0.065495,0.064529,0.446051,"1,3,4",0.007635,0.287355,14.683126,1.457021,1.968781,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.455429,"1,3,4"
65376," ",1000470.999935,112199.774766,137.987243,0.089831,0.067360,0.481859,"3,4,5",0.005756,0.216641,13.487610,1.235764,1.749781,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.494768,"3,4,5"
65380," ",999937.085891,112439.717986,144.520035,0.071607,0.056533,0.551099,"2,3,4",0.001980,0.074522,13.654027,0.631588,0.874050,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.558600,"2,3,4"
65382," ",1000070.057732,112452.056797,144.975906,0.056697,0.056793,0.549200,"2,3,4",0.000892,0.033578,13.701195,0.924045,1.286626,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.555032,"2,3,4"
65384," ",1000186.497249,112158.407479,140.337005,0.058072,0.072271,0.476263,"3,4,5",0.003179,0.119653,13.388673,0.742240,0.950837,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.485203,"3,4,5"
65388," ",1000102.004511,112269.166185,139.690607,0.063832,0.057935,0.469938,"3,4,5",0.002466,0.092816,13.320666,0.445072,0.560271,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.477779,"3,4,5"
65390," ",999797.255286,112126.402256,153.183073,0.070874,0.076728,0.452365,"1,3,4",0.002815,0.105939,14.967296,0.534661,0.684420,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.464268,"1,3,4"
65393," ",1000113.178005,112206.951832,159.369523,0.063318,0.065135,0.465097,"3,4,5",0.003678,0.138442,13.437347,1.185913,1.358071,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.473885,"3,4,5"
65394," ",999622.855646,112409.699490,137.583263,0.100390,0.061322,0.453518,"1,3,4",0.005237,0.197102,14.596528,1.099034,1.332985,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.468526,"1,3,4"
65395," ",999701.250368,112437.851766,146.592767,0.131146,0.058382,0.559399,"2,3,4",0.000568,0.021366,13.413833,0.205788,0.287266,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.577525,"2,3,4"
65406," ",999810.358172,112312.452345,144.319033,0.101294,0.064530,0.556515,"2,3,4",0.004630,0.174259,13.496603,1.195035,1.373806,2,SurfaceDefault,Default, ,SmartPoint,yes,no,0.569327,"2,3,4"
65411," ",1000193.698116,112261.602904,138.144514,0.057265,0.058669,0.471205,"3,4,5",0.003263,0.122819,13.451978,0.626624,0.851115,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.478284,"3,4,5"
65415," ",1000480.697810,112226.428052,145.697160,0.091757,0.064054,0.477830,"3,4,5",0.006278,0.236295,13.545336,1.445983,1.808807,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.490758,"3,4,5"
65416," ",1000189.091283,112230.124840,140.154879,0.082266,0.061023,0.449773,"1,3,4",0.005436,0.204607,14.443211,1.008104,1.223181,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.461288,"1,3,4"
65419," ",999795.844041,112090.953796,140.908050,0.071072,0.082894,0.458706,"1,3,4",0.004764,0.179289,14.834180,1.282176,1.406599,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.471523,"1,3,4"
65432," ",1000218.672704,112467.449746,138.201910,0.056936,0.066103,0.470162,"3,4,5",0.003237,0.121835,13.468228,0.602609,0.812756,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.478188,"3,4,5"
65445," ",999615.335072,112398.626570,137.540745,0.101974,0.060560,0.453920,"1,3,4",0.004177,0.157205,14.589862,1.454854,1.963875,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.469159,"1,3,4"
