Project Units: meters
Units & Scale - Active, Translate - Active, Rotate - Active

Id,Name,X (project units),Y (project units),Z (project units),X Precision,Y Precision,Z Precision,Photos (used),Tightness (percent),Tightness (project units),Angle (deg.),RMS Residual (pixels),Largest Residual (pixels),Photo Largest Residual,Material,Layer,Tagged,Type,Use In Processing,Frozen,Precision Vector Length,Photos (marked)
65369," ",1000101.613778,112171.252448,140.418271,0.068362,0.068086,0.447307,"1,3,4",0.005167,0.194479,14.605537,0.979785,1.353439,1,SurfaceDefault,Default, ,SmartPoint,yes,no,0.457594,"1,3,4"
65374," ",1000077.560098,112198.977875,141.044313,0.065198,0.064238,0.444037,"1,3,4",0.007631,0.287206,14.683677,1.456811,1.968941,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.453372,"1,3,4"
65376," ",1000471.000225,112199.774312,137.980447,0.089429,0.067059,0.479733,"3,4,5",0.005747,0.216307,13.486550,1.234034,1.747327,5,SurfaceDefault,Default, ,SmartPoint,yes,no,0.492583,"3,4,5"
65380," ",999937.086741,112439.718579,144.519294,0.071290,0.056280,0.548646,"2,3,4",0.001974,0.074288,13.653450,0.631203,0.873944,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.556114,"2,3,4"
65382," ",1000070.058708,112452.057129,144.973452,0.056443,0.056539,0.546756,"2,3,4",0.000895,0.033703,13.700578,0.924088,1.286539,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.552562,"2,3,4"
65384," ",1000186.497617,112158.407660,140.333466,0.057812,0.071949,0.474161,"3,4,5",0.003178,0.119602,13.387541,0.741882,0.950239,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.483061,"3,4,5"
65388," ",1000102.005146,112269.166448,139.686549,0.063548,0.057675,0.467865,"3,4,5",0.002462,0.092677,13.319681,0.444369,0.558928,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.475671,"3,4,5"
65390," ",999797.255945,112126.403184,153.185156,0.070557,0.076382,0.450322,"1,3,4",0.002821,0.106166,14.967842,0.535424,0.685191,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.462172,"1,3,4"
65393," ",1000113.178735,112206.952211,159.367250,0.063035,0.064844,0.463044,"3,4,5",0.003684,0.138674,13.436257,1.185301,1.358087,4,SurfaceDefault,Default, ,SmartPoint,yes,no,0.471792,"3,4,5"
65394," ",999622.856559,112409.700215,137.587765,0.099941,0.061047,0.451467,"1,3,4",0.005241,0.197253,14.597058,1.102682,1.335410,3,SurfaceDefault,Default, ,SmartPoint,yes,no,0.466409,"1,3,4"
